ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,LIGHT_CONDITION,NODE_ID,NO_OF_VEHICLES,NO_PERSONS_KILLED,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_NOT_INJ,NO_PERSONS,POLICE_ATTEND,ROAD_GEOMETRY,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,RMA
T20230000007,2023-01-01,00:05:00,1,Collision with vehicle,1,Sunday,169,OTHER ON PATH,3,770440,2,0,1,1,0,2,1,5,Not at intersection,2,050,Local Road
T20230000874,2023-01-01,22:14:00,6,Vehicle overturned (no collision),1,Sunday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),5,748138,1,0,0,2,0,2,1,5,Not at intersection,3,080,
T20230000035,2023-01-01,13:00:00,1,Collision with vehicle,0,Sunday,120,HEAD ON (NOT OVERTAKING),1,780449,2,0,0,2,0,2,1,5,Not at intersection,3,080,
T20230000355,2023-01-01,13:20:00,1,Collision with vehicle,0,Sunday,113,RIGHT NEAR (INTERSECTIONS ONLY),1,60806,2,0,0,1,1,2,2,1,Cross intersection,3,060,Arterial Other
T20230000031,2023-01-01,01:36:00,1,Collision with vehicle,0,Sunday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,3,751597,2,0,0,1,0,1,1,5,Not at intersection,3,060,Arterial Other
T20230000029,2023-01-01,08:30:00,4,Collision with a fixed object,1,Sunday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,781003,1,0,1,1,0,2,1,5,Not at intersection,2,060,Local Road
T20230000028,2023-01-01,11:57:00,1,Collision with vehicle,0,Sunday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,42394,2,0,0,1,2,3,1,1,Cross intersection,3,060,Arterial Other
T20230001645,2023-01-01,14:00:00,4,Collision with a fixed object,0,Sunday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,760809,1,0,1,0,1,2,1,5,Not at intersection,2,060,Local Road
T20230000023,2023-01-01,10:00:00,3,Struck animal,1,Sunday,167,STRUCK ANIMAL,1,748258,1,0,1,0,0,1,1,5,Not at intersection,2,080,Local Road
T20230000017,2023-01-01,00:43:00,2,Struck Pedestrian,1,Sunday,103,PED PLAYING/LYING/WORKING/STANDING ON CARRIAGEWAY.,5,752847,1,0,1,0,2,3,1,5,Not at intersection,2,050,Local Road
T20230000053,2023-01-01,09:15:00,4,Collision with a fixed object,0,Sunday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,1,748689,1,0,1,0,0,1,1,5,Not at intersection,2,060,Local Road
T20230002430,2023-01-01,13:40:00,1,Collision with vehicle,0,Sunday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),9,40195,2,0,0,1,1,2,2,1,Cross intersection,3,070,Arterial Highway
T20230000070,2023-01-01,20:30:00,1,Collision with vehicle,0,Sunday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,67077,2,0,1,0,3,4,1,1,Cross intersection,2,050,Local Road
T20230000014,2023-01-01,02:40:00,1,Collision with vehicle,0,Sunday,130,REAR END(VEHICLES IN SAME LANE),3,758473,2,0,0,1,2,3,1,2,T intersection,3,070,Arterial Other
T20230000013,2023-01-01,00:30:00,2,Struck Pedestrian,1,Sunday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,4,804251,1,0,0,1,1,2,1,2,T intersection,3,050,Local Road
T20230000056,2023-01-01,23:00:00,4,Collision with a fixed object,1,Sunday,164,PERMANENT OBSTRUCTION ON CARRIAGEWAY,3,39962,1,0,1,0,0,1,1,2,T intersection,2,060,
T20230000011,2023-01-01,01:37:00,4,Collision with a fixed object,1,Sunday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,4,750089,1,0,1,0,0,1,1,5,Not at intersection,2,060,Local Road
T20230000008,2023-01-01,00:30:00,1,Collision with vehicle,1,Sunday,130,REAR END(VEHICLES IN SAME LANE),3,773543,2,0,0,1,3,4,1,5,Not at intersection,3,040,Local Road
T20230000532,2023-01-01,12:30:00,1,Collision with vehicle,0,Sunday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,1,787170,2,0,0,1,0,1,2,5,Not at intersection,3,060,
T20230000324,2023-01-01,02:30:00,1,Collision with vehicle,1,Sunday,116,LEFT NEAR (INTERSECTIONS ONLY),6,278624,2,0,0,1,1,2,2,1,Cross intersection,3,070,Local Road
T20230000548,2023-01-01,12:50:00,1,Collision with vehicle,0,Sunday,130,REAR END(VEHICLES IN SAME LANE),1,746931,2,0,0,1,1,2,2,5,Not at intersection,3,080,Arterial Highway
T20230030840,2023-01-01,20:30:00,7,Fall from or in moving vehicle,0,Sunday,190,FELL IN/FROM VEHICLE,3,794617,1,0,0,1,1,2,2,2,T intersection,3,070,Arterial Highway
