ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,LIGHT_CONDITION,NODE_ID,NO_OF_VEHICLES,NO_PERSONS_KILLED,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_NOT_INJ,NO_PERSONS,POLICE_ATTEND,ROAD_GEOMETRY,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,RMA
T20220003468,2022-01-01,06:55:00,1,Collision with vehicle,6,Saturday,175,OFF END OF ROAD/T-INTERSECTION.,2,706058,2,0,0,1,0,1,2,2,T intersection,3,050,Local Road
T20220024316,2022-01-01,12:30:00,8,No collision and no object struck,7,Saturday,149,OTHER MANOEUVRING NOT INCLUDED IN DCAs 140-148,1,732118,1,0,0,1,0,1,2,5,Not at intersection,3,050,Local Road
T20220000083,2022-01-01,14:15:00,5,collision with some other object,7,Saturday,166,STRUCK OBJECT ON CARRIAGEWAY,1,702738,1,0,0,1,0,1,1,2,T intersection,3,050,Local Road
T20220000981,2022-01-01,02:00:00,4,Collision with a fixed object,7,Saturday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,5,702274,1,0,0,1,0,1,2,5,Not at intersection,3,050,
T20220000070,2022-01-01,22:10:00,6,Vehicle overturned (no collision),6,Saturday,172,OFF CARRIAGEWAY TO RIGHT,5,712167,1,0,1,0,0,1,1,2,T intersection,2,100,Arterial Other
T20220000014,2022-01-01,04:22:00,4,Collision with a fixed object,7,Saturday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,3,713258,1,0,1,0,0,1,1,2,T intersection,2,050,Local Road
T20220000059,2022-01-01,14:00:00,2,Struck Pedestrian,7,Saturday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,1,677510,1,0,0,1,1,2,2,1,Cross intersection,3,080,Arterial Highway
T20220000915,2022-01-01,12:00:00,4,Collision with a fixed object,7,Saturday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,710543,1,0,0,1,1,2,2,5,Not at intersection,3,060,Local Road
T20220001286,2022-01-01,14:15:00,1,Collision with vehicle,6,Saturday,130,REAR END(VEHICLES IN SAME LANE),1,705913,2,0,0,1,1,2,2,1,Cross intersection,3,999,Local Road
T20220000081,2022-01-01,15:53:00,1,Collision with vehicle,6,Saturday,113,RIGHT NEAR (INTERSECTIONS ONLY),1,52327,2,0,0,1,1,2,1,2,T intersection,3,060,
T20220000029,2022-01-01,08:07:00,1,Collision with vehicle,7,Saturday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,1,701923,2,0,0,1,0,1,1,5,Not at intersection,3,060,Local Road
T20220000011,2022-01-01,02:59:00,1,Collision with vehicle,7,Saturday,113,RIGHT NEAR (INTERSECTIONS ONLY),3,359007,2,0,0,1,1,2,1,1,Cross intersection,3,070,Freeway
T20220002649,2022-01-01,16:30:00,1,Collision with vehicle,7,Saturday,132,RIGHT REAR.,1,704400,2,0,0,1,1,2,2,4,Multiple intersection,3,999,Arterial Other
