ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,LIGHT_CONDITION,NODE_ID,NO_OF_VEHICLES,NO_PERSONS_KILLED,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_NOT_INJ,NO_PERSONS,POLICE_ATTEND,ROAD_GEOMETRY,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,RMA
T20140000235,2014-01-01,11:00:00,1,Collision with vehicle,4,Wednesday,147,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,1,266508,2,0,1,0,1,2,2,5,Not at intersection,2,060,Local Road
T20140003062,2014-01-01,09:40:00,1,Collision with vehicle,4,Wednesday,116,LEFT NEAR (INTERSECTIONS ONLY),1,266977,2,0,0,1,3,4,2,2,T intersection,3,100,Local Road
T20140000211,2014-01-01,09:30:00,1,Collision with vehicle,4,Wednesday,140,U TURN,1,267053,2,0,0,1,1,2,1,5,Not at intersection,3,060,Arterial Other
T20140000206,2014-01-01,14:00:00,8,No collision and no object struck,4,Wednesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,52965,1,0,0,1,0,1,2,1,Cross intersection,3,060,Local Road
T20140000147,2014-01-01,15:30:00,8,No collision and no object struck,4,Wednesday,184,OUT OF CONTROL ON CARRIAGEWAY (ON BEND),1,269753,2,0,0,1,1,2,2,5,Not at intersection,3,060,Arterial Other
T20140000041,2014-01-01,14:45:00,4,Collision with a fixed object,4,Wednesday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,1,266491,1,0,0,1,0,1,1,5,Not at intersection,3,080,Arterial Other
T20140000132,2014-01-01,22:21:00,1,Collision with vehicle,4,Wednesday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,6,267050,3,0,0,1,0,1,1,5,Not at intersection,3,050,Local Road
T20140000093,2014-01-01,16:00:00,4,Collision with a fixed object,4,Wednesday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,1,290202,1,0,0,2,0,2,2,5,Not at intersection,3,080,Arterial Other
T20140002921,2014-01-01,01:30:00,8,No collision and no object struck,4,Wednesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),3,266610,1,0,1,0,0,1,2,5,Not at intersection,2,050,Arterial Highway
T20140000077,2014-01-01,14:55:00,1,Collision with vehicle,4,Wednesday,130,REAR END(VEHICLES IN SAME LANE),1,266505,3,0,1,1,9,11,1,5,Not at intersection,2,100,Arterial Other
T20140000068,2014-01-01,22:30:00,1,Collision with vehicle,4,Wednesday,113,RIGHT NEAR (INTERSECTIONS ONLY),3,41804,2,0,1,2,0,3,1,2,T intersection,2,070,Arterial Other
T20140000063,2014-01-01,16:30:00,1,Collision with vehicle,4,Wednesday,130,REAR END(VEHICLES IN SAME LANE),1,40120,2,0,4,0,1,5,1,2,T intersection,2,060,Arterial Highway
T20140000062,2014-01-01,18:20:00,4,Collision with a fixed object,3,Wednesday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,1,356012,1,0,1,0,1,2,1,5,Not at intersection,2,100,Arterial Other
T20140000058,2014-01-01,19:00:00,1,Collision with vehicle,4,Wednesday,120,HEAD ON (NOT OVERTAKING),1,117582,2,0,0,1,2,3,1,5,Not at intersection,3,080,Arterial Highway
T20140000057,2014-01-01,19:45:00,1,Collision with vehicle,4,Wednesday,113,RIGHT NEAR (INTERSECTIONS ONLY),5,36479,2,0,0,4,0,4,1,2,T intersection,3,080,
T20140000056,2014-01-01,15:14:00,1,Collision with vehicle,4,Wednesday,121,RIGHT THROUGH,1,44970,2,0,0,1,1,2,1,1,Cross intersection,3,060,Arterial Highway
T20140000054,2014-01-01,15:50:00,8,No collision and no object struck,4,Wednesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,78246,1,0,1,0,0,1,1,5,Not at intersection,2,040,Arterial Other
T20140000051,2014-01-01,16:30:00,1,Collision with vehicle,4,Wednesday,120,HEAD ON (NOT OVERTAKING),1,267042,2,0,0,1,2,3,1,5,Not at intersection,3,060,
