ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,LIGHT_CONDITION,NODE_ID,NO_OF_VEHICLES,NO_PERSONS_KILLED,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_NOT_INJ,NO_PERSONS,POLICE_ATTEND,ROAD_GEOMETRY,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,RMA
T20190000041,2019-01-01,15:35:00,1,Collision with vehicle,3,Tuesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,43815,2,0,2,3,0,5,1,1,Cross intersection,2,080,
T20190000037,2019-01-01,15:50:00,5,collision with some other object,2,Tuesday,166,STRUCK OBJECT ON CARRIAGEWAY,1,341009,1,0,0,1,0,1,1,5,Not at intersection,3,080,
T20190000036,2019-01-01,15:10:00,4,Collision with a fixed object,3,Tuesday,175,OFF END OF ROAD/T-INTERSECTION.,1,62704,1,0,0,1,0,1,1,2,T intersection,3,050,Local Road
T20190000035,2019-01-01,15:15:00,1,Collision with vehicle,2,Tuesday,113,RIGHT NEAR (INTERSECTIONS ONLY),1,49400,2,0,0,2,1,3,2,2,T intersection,3,060,
T20190000031,2019-01-01,13:52:00,1,Collision with vehicle,3,Tuesday,120,HEAD ON (NOT OVERTAKING),1,341246,2,0,0,1,2,3,1,5,Not at intersection,3,080,
T20190000030,2019-01-01,12:15:00,6,Vehicle overturned (no collision),2,Tuesday,180,OFF CARRIAGEWAY ON RIGHT BEND,1,342875,1,0,0,1,0,1,1,5,Not at intersection,3,100,
T20190000025,2019-01-01,10:38:00,2,Struck Pedestrian,3,Tuesday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,1,40099,1,0,1,0,1,2,1,1,Cross intersection,2,060,Arterial Other
T20190000023,2019-01-01,07:28:00,8,No collision and no object struck,3,Tuesday,182,OFF CARRIAGEWAY ON LEFT BEND,1,344814,1,0,1,0,0,1,1,5,Not at intersection,2,100,
T20190000022,2019-01-01,07:45:00,4,Collision with a fixed object,3,Tuesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,340797,1,0,0,1,0,1,1,5,Not at intersection,3,100,Freeway
T20190000021,2019-01-01,08:27:00,4,Collision with a fixed object,3,Tuesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,343169,1,0,1,0,0,1,1,2,T intersection,2,050,Arterial Other
T20190000019,2019-01-01,06:00:00,4,Collision with a fixed object,3,Tuesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,343730,3,0,0,1,0,1,1,2,T intersection,3,050,Local Road
T20190000947,2019-01-01,01:15:00,4,Collision with a fixed object,3,Tuesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,3,341404,1,0,0,1,0,1,1,5,Not at intersection,3,080,Freeway
T20190000081,2019-01-01,22:31:00,2,Struck Pedestrian,3,Tuesday,103,PED PLAYING/LYING/WORKING/STANDING ON CARRIAGEWAY.,3,343437,1,0,0,1,1,2,1,5,Not at intersection,3,060,Arterial Highway
T20190000015,2019-01-01,06:00:00,4,Collision with a fixed object,3,Tuesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,344107,1,0,1,0,0,1,1,5,Not at intersection,2,100,Freeway
T20190000011,2019-01-01,02:45:00,4,Collision with a fixed object,2,Tuesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,3,343496,1,0,0,1,0,1,1,5,Not at intersection,3,050,Local Road
T20190000009,2019-01-01,02:16:00,4,Collision with a fixed object,3,Tuesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,3,342191,1,0,1,0,0,1,1,2,T intersection,2,060,Arterial Other
T20190000071,2019-01-01,23:00:00,4,Collision with a fixed object,3,Tuesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,3,360657,1,0,1,0,0,1,1,5,Not at intersection,2,100,Freeway
T20190000334,2019-01-01,21:00:00,3,Struck animal,3,Tuesday,167,STRUCK ANIMAL,5,341333,1,0,1,0,0,1,2,5,Not at intersection,2,100,Local Road
T20190000344,2019-01-01,23:40:00,1,Collision with vehicle,3,Tuesday,121,RIGHT THROUGH,3,29766,2,0,2,1,1,4,1,1,Cross intersection,2,060,Arterial Highway
T20190000010,2019-01-01,03:00:00,4,Collision with a fixed object,2,Tuesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,5,608409,1,0,0,1,0,1,1,5,Not at intersection,3,070,Arterial Highway
T20190000059,2019-01-01,17:05:00,4,Collision with a fixed object,2,Tuesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,340805,3,0,0,1,2,3,1,5,Not at intersection,3,100,Freeway
T20190007093,2019-01-01,08:00:00,8,No collision and no object struck,3,Tuesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,344209,1,0,0,1,0,1,2,5,Not at intersection,3,050,Local Road
T20190002533,2019-01-01,11:00:00,6,Vehicle overturned (no collision),3,Tuesday,189,OTHER ACCIDENTS ON CURVE NOT INCLUDED IN DCAs 180-184,1,343903,1,0,1,0,0,1,2,5,Not at intersection,2,100,Local Road
T20190000464,2019-01-01,19:30:00,1,Collision with vehicle,2,Tuesday,130,REAR END(VEHICLES IN SAME LANE),1,360401,2,0,0,2,1,3,2,5,Not at intersection,3,080,
T20190000080,2019-01-01,20:15:00,4,Collision with a fixed object,3,Tuesday,179,OTHER ACCIDENTS-OFF STRAIGHT NOT INCLUDED IN DCAs 170-175,1,344412,1,0,0,1,0,1,1,5,Not at intersection,3,050,Local Road
T20190000070,2019-01-01,16:30:00,1,Collision with vehicle,3,Tuesday,120,HEAD ON (NOT OVERTAKING),1,345527,2,0,7,0,0,7,1,5,Not at intersection,2,100,Arterial Highway
T20190000067,2019-01-01,03:05:00,4,Collision with a fixed object,3,Tuesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,3,344190,1,0,1,0,0,1,1,5,Not at intersection,2,060,Arterial Highway
T20190000065,2019-01-01,22:30:00,1,Collision with vehicle,2,Tuesday,113,RIGHT NEAR (INTERSECTIONS ONLY),3,45034,2,0,2,0,1,3,1,2,T intersection,2,060,Arterial Other
T20190000064,2019-01-01,20:50:00,3,Struck animal,2,Tuesday,167,STRUCK ANIMAL,5,341097,1,0,2,0,0,2,1,5,Not at intersection,2,100,
T20190000063,2019-01-01,04:50:00,4,Collision with a fixed object,3,Tuesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,3,43857,1,0,1,0,0,1,1,1,Cross intersection,2,080,Arterial Highway
T20190000060,2019-01-01,19:12:00,1,Collision with vehicle,3,Tuesday,130,REAR END(VEHICLES IN SAME LANE),1,341850,4,0,0,3,4,7,1,5,Not at intersection,3,060,Arterial Other
T20190019345,2019-01-01,10:00:00,1,Collision with vehicle,3,Tuesday,135,LANE CHANGE LEFT (NOT OVERTAKING),1,591010,2,0,0,1,3,4,2,5,Not at intersection,3,999,Freeway
T20190000614,2019-01-01,05:30:00,4,Collision with a fixed object,3,Tuesday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,1,341131,1,0,1,0,1,2,2,5,Not at intersection,2,100,Local Road
T20190000051,2019-01-01,17:27:00,1,Collision with vehicle,3,Tuesday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,1,341873,4,0,1,0,0,1,2,5,Not at intersection,2,050,Local Road
T20190000049,2019-01-01,14:30:00,4,Collision with a fixed object,3,Tuesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,340800,1,0,1,0,0,1,1,5,Not at intersection,2,050,Local Road
T20190000048,2019-01-01,13:25:00,4,Collision with a fixed object,2,Tuesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,360285,1,0,1,0,0,1,1,5,Not at intersection,2,050,Local Road
T20190000109,2019-01-02,17:20:00,8,No collision and no object struck,4,Wednesday,184,OUT OF CONTROL ON CARRIAGEWAY (ON BEND),1,341406,1,0,1,0,0,1,1,5,Not at intersection,2,040,Arterial Highway
T20190000112,2019-01-02,20:10:00,2,Struck Pedestrian,4,Wednesday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,1,36160,1,0,1,0,1,2,1,2,T intersection,2,060,Arterial Highway
T20190000119,2019-01-02,19:42:00,1,Collision with vehicle,4,Wednesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,38064,3,0,5,0,2,7,1,1,Cross intersection,2,060,Arterial Other
T20190000125,2019-01-02,13:00:00,1,Collision with vehicle,4,Wednesday,121,RIGHT THROUGH,1,340864,2,0,1,0,1,2,2,5,Not at intersection,2,050,Local Road
T20190000126,2019-01-02,18:02:00,2,Struck Pedestrian,4,Wednesday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,1,342114,1,0,1,0,1,2,1,5,Not at intersection,2,030,Arterial Other
T20190000084,2019-01-02,11:25:00,7,Fall from or in moving vehicle,4,Wednesday,190,FELL IN/FROM VEHICLE,1,342189,1,0,0,1,1,2,1,5,Not at intersection,3,050,Arterial Other
T20190000100,2019-01-02,14:18:00,1,Collision with vehicle,4,Wednesday,121,RIGHT THROUGH,1,1329,2,0,0,1,1,2,1,2,T intersection,3,050,Local Road
T20190000099,2019-01-02,15:00:00,2,Struck Pedestrian,4,Wednesday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,1,65799,1,0,0,2,0,2,1,1,Cross intersection,3,040,Local Road
T20190000139,2019-01-02,12:10:00,6,Vehicle overturned (no collision),3,Wednesday,182,OFF CARRIAGEWAY ON LEFT BEND,1,341103,1,0,1,0,0,1,1,5,Not at intersection,2,100,Arterial Other
T20190000107,2019-01-02,10:30:00,6,Vehicle overturned (no collision),4,Wednesday,151,OUT OF CONTROL (OVERTAKING),1,341088,1,0,1,1,0,2,1,5,Not at intersection,2,100,Arterial Other
T20190000376,2019-01-02,18:00:00,1,Collision with vehicle,3,Wednesday,120,HEAD ON (NOT OVERTAKING),1,341144,2,0,0,1,1,2,1,5,Not at intersection,3,060,
T20190000095,2019-01-02,13:25:00,1,Collision with vehicle,4,Wednesday,130,REAR END(VEHICLES IN SAME LANE),1,340853,4,0,0,1,3,4,1,1,Cross intersection,3,080,Arterial Highway
