ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,LIGHT_CONDITION,NODE_ID,NO_OF_VEHICLES,NO_PERSONS_KILLED,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_NOT_INJ,NO_PERSONS,POLICE_ATTEND,ROAD_GEOMETRY,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,RMA
T20150000037,2015-01-01,19:00:00,1,Collision with vehicle,5,Thursday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),2,39371,2,0,2,0,1,3,1,1,Cross intersection,2,060,Arterial Other
T20150000039,2015-01-01,20:00:00,1,Collision with vehicle,5,Thursday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),2,58445,2,0,0,5,5,10,1,1,Cross intersection,3,050,Local Road
T20150000042,2015-01-01,12:00:00,1,Collision with vehicle,5,Thursday,130,REAR END(VEHICLES IN SAME LANE),1,266135,2,0,0,1,1,2,2,1,Cross intersection,3,070,Arterial Highway
T20150000041,2015-01-01,19:30:00,3,Struck animal,5,Thursday,167,STRUCK ANIMAL,2,280618,1,0,1,0,0,1,1,5,Not at intersection,2,100,
T20150000525,2015-01-01,16:00:00,5,collision with some other object,5,Thursday,166,STRUCK OBJECT ON CARRIAGEWAY,1,282939,1,0,0,1,0,1,2,5,Not at intersection,3,999,Local Road
T20150000043,2015-01-01,19:30:00,8,No collision and no object struck,5,Thursday,184,OUT OF CONTROL ON CARRIAGEWAY (ON BEND),2,281058,1,0,0,1,0,1,1,2,T intersection,3,060,Arterial Other
T20150000031,2015-01-01,16:25:00,6,Vehicle overturned (no collision),4,Thursday,172,OFF CARRIAGEWAY TO RIGHT,1,280699,1,0,0,1,0,1,1,5,Not at intersection,3,100,Local Road
T20150006391,2015-01-01,11:00:00,1,Collision with vehicle,4,Thursday,130,REAR END(VEHICLES IN SAME LANE),1,357202,2,0,0,1,2,3,2,5,Not at intersection,3,999,
T20150004253,2015-01-01,15:30:00,1,Collision with vehicle,4,Thursday,130,REAR END(VEHICLES IN SAME LANE),1,37006,2,0,0,1,2,3,2,3,Y intersection,3,999,Arterial Highway
T20150004262,2015-01-01,01:30:00,1,Collision with vehicle,5,Thursday,121,RIGHT THROUGH,6,37878,2,0,0,2,2,4,2,2,T intersection,3,999,Arterial Highway
T20150000050,2015-01-01,04:00:00,2,Struck Pedestrian,5,Thursday,109,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.,5,282267,1,0,0,1,1,2,1,5,Not at intersection,3,050,Local Road
T20150000067,2015-01-01,18:10:00,1,Collision with vehicle,5,Thursday,112,LEFT FAR (INTERSECTIONS ONLY),1,280320,2,0,0,1,1,2,1,2,T intersection,3,777,
T20150006976,2015-01-01,04:30:00,4,Collision with a fixed object,5,Thursday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,2,287471,1,0,1,0,0,1,1,5,Not at intersection,2,070,Arterial Other
T20150000072,2015-01-01,21:15:00,1,Collision with vehicle,5,Thursday,130,REAR END(VEHICLES IN SAME LANE),3,35577,2,0,0,2,2,4,2,2,T intersection,3,060,Arterial Other
T20150000004,2015-01-01,02:10:00,2,Struck Pedestrian,5,Thursday,108,PED STRUCK WALKING TO/FROM OR BOARDING/ALIGHTING VEHICLE.,3,280946,1,0,0,1,0,1,1,5,Not at intersection,3,060,Arterial Other
T20150000005,2015-01-01,00:31:00,4,Collision with a fixed object,5,Thursday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,3,280297,1,0,2,0,0,2,1,5,Not at intersection,2,050,Local Road
T20150000057,2015-01-01,04:47:00,2,Struck Pedestrian,4,Thursday,109,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.,3,280469,1,0,0,1,0,1,1,2,T intersection,3,999,Local Road
T20150000008,2015-01-01,00:10:00,1,Collision with vehicle,5,Thursday,120,HEAD ON (NOT OVERTAKING),5,279836,2,1,0,1,0,2,1,5,Not at intersection,1,100,
T20150000011,2015-01-01,01:15:00,6,Vehicle overturned (no collision),5,Thursday,172,OFF CARRIAGEWAY TO RIGHT,5,289290,1,0,0,1,0,1,1,5,Not at intersection,3,100,Arterial Other
T20150000784,2015-01-01,17:50:00,1,Collision with vehicle,5,Thursday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,1,289730,2,0,0,1,1,2,2,5,Not at intersection,3,050,Arterial Highway
T20150000014,2015-01-01,07:30:00,8,No collision and no object struck,5,Thursday,172,OFF CARRIAGEWAY TO RIGHT,1,281042,1,0,0,1,0,1,1,5,Not at intersection,3,100,Arterial Highway
T20150000017,2015-01-01,07:20:00,1,Collision with vehicle,5,Thursday,130,REAR END(VEHICLES IN SAME LANE),1,282822,2,0,1,1,0,2,1,4,Multiple intersection,2,070,Freeway
T20150000020,2015-01-01,06:51:00,4,Collision with a fixed object,5,Thursday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,2,286438,1,1,0,0,0,1,1,1,Cross intersection,1,070,Arterial Other
T20150000021,2015-01-01,11:15:00,6,Vehicle overturned (no collision),4,Thursday,184,OUT OF CONTROL ON CARRIAGEWAY (ON BEND),1,280397,1,0,1,0,0,1,1,5,Not at intersection,2,999,
T20150000028,2015-01-01,07:55:00,1,Collision with vehicle,5,Thursday,135,LANE CHANGE LEFT (NOT OVERTAKING),1,356777,2,0,0,1,0,1,1,5,Not at intersection,3,100,Freeway
T20150000052,2015-01-01,01:20:00,1,Collision with vehicle,5,Thursday,121,RIGHT THROUGH,3,57165,2,0,0,2,2,4,1,1,Cross intersection,3,060,
T20150000034,2015-01-01,17:10:00,4,Collision with a fixed object,5,Thursday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,281842,1,0,0,1,0,1,1,5,Not at intersection,3,060,
T20150000035,2015-01-01,18:20:00,6,Vehicle overturned (no collision),5,Thursday,172,OFF CARRIAGEWAY TO RIGHT,1,248367,1,0,1,0,0,1,1,2,T intersection,2,100,Arterial Other
T20150000125,2015-01-02,23:40:00,6,Vehicle overturned (no collision),6,Friday,172,OFF CARRIAGEWAY TO RIGHT,5,288561,1,0,1,0,0,1,1,5,Not at intersection,2,100,Arterial Highway
T20150000103,2015-01-02,18:25:00,2,Struck Pedestrian,6,Friday,104,PED WALKING WITH TRAFFIC,1,280377,1,0,0,1,0,1,1,5,Not at intersection,3,050,Local Road
T20150000105,2015-01-02,17:40:00,1,Collision with vehicle,6,Friday,111,RIGHT FAR (INTERSECTIONS ONLY),1,19662,2,0,4,0,0,4,1,1,Cross intersection,2,100,
T20150000106,2015-01-02,16:30:00,4,Collision with a fixed object,6,Friday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,280562,1,0,1,0,0,1,1,5,Not at intersection,2,100,Arterial Highway
T20150000110,2015-01-02,20:33:00,4,Collision with a fixed object,6,Friday,198,OTHER ACCIDENTS NOT CLASSIFIABLE ELSEWHERE,2,280614,1,0,1,0,0,1,1,5,Not at intersection,2,040,Local Road
T20150000113,2015-01-02,17:00:00,1,Collision with vehicle,6,Friday,111,RIGHT FAR (INTERSECTIONS ONLY),1,280441,2,0,1,1,2,4,1,1,Cross intersection,2,060,Local Road
T20150000128,2015-01-02,14:30:00,1,Collision with vehicle,6,Friday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,39748,2,0,0,1,2,3,1,1,Cross intersection,3,080,Arterial Highway
T20150002054,2015-01-02,13:45:00,1,Collision with vehicle,5,Friday,130,REAR END(VEHICLES IN SAME LANE),1,281520,3,0,0,1,2,3,1,5,Not at intersection,3,060,
T20150000056,2015-01-02,03:00:00,4,Collision with a fixed object,6,Friday,141,U TURN INTO FIXED OBJECT/PARKED VEHICLE,4,280530,1,0,0,1,0,1,1,5,Not at intersection,3,999,
T20150000114,2015-01-02,20:05:00,8,No collision and no object struck,6,Friday,170,OFF CARRIAGEWAY TO LEFT,2,356782,1,0,1,0,0,1,1,5,Not at intersection,2,060,Local Road
T20150000063,2015-01-02,08:30:00,1,Collision with vehicle,6,Friday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,50505,2,0,0,2,0,2,1,1,Cross intersection,3,060,Local Road
T20150000116,2015-01-02,22:05:00,1,Collision with vehicle,6,Friday,121,RIGHT THROUGH,3,40291,2,0,1,1,1,3,1,1,Cross intersection,2,060,Arterial Other
