ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,LIGHT_CONDITION,NODE_ID,NO_OF_VEHICLES,NO_PERSONS_KILLED,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_NOT_INJ,NO_PERSONS,POLICE_ATTEND,ROAD_GEOMETRY,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,RMA
T20130000035,2013-01-01,15:20:00,4,Collision with a fixed object,3,Tuesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,267801,1,0,0,1,1,2,1,5,Not at intersection,3,100,Local Road
T20130000003,2013-01-01,00:25:00,1,Collision with vehicle,3,Tuesday,120,HEAD ON (NOT OVERTAKING),5,257240,2,0,4,0,0,4,1,5,Not at intersection,2,090,Arterial Highway
T20130000126,2013-01-01,06:30:00,4,Collision with a fixed object,3,Tuesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,262306,1,0,0,2,0,2,1,5,Not at intersection,3,060,Arterial Other
T20140002124,2013-01-01,16:55:00,1,Collision with vehicle,3,Tuesday,140,U TURN,1,188435,2,0,0,1,4,5,2,5,Not at intersection,3,050,Local Road
T20130000229,2013-01-01,21:30:00,4,Collision with a fixed object,3,Tuesday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,5,-10,1,0,0,1,0,1,1,5,Not at intersection,3,060,
T20130004773,2013-01-01,18:00:00,8,No collision and no object struck,3,Tuesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),2,268332,1,0,1,0,0,1,2,5,Not at intersection,2,999,Local Road
T20130000051,2013-01-01,16:10:00,4,Collision with a fixed object,3,Tuesday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,1,267802,1,0,1,2,0,3,1,5,Not at intersection,2,100,
T20130000030,2013-01-01,13:55:00,1,Collision with vehicle,3,Tuesday,153,CUTTING IN (OVERTAKING),1,267800,2,0,1,0,2,3,1,5,Not at intersection,2,040,Local Road
T20130002858,2013-01-01,15:15:00,6,Vehicle overturned (no collision),3,Tuesday,179,OTHER ACCIDENTS-OFF STRAIGHT NOT INCLUDED IN DCAs 170-175,1,268089,1,0,0,1,0,1,2,5,Not at intersection,3,999,
T20130000007,2013-01-01,05:30:00,2,Struck Pedestrian,3,Tuesday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,2,38741,1,0,1,0,1,2,1,1,Cross intersection,2,070,Arterial Highway
T20130000123,2013-01-01,19:10:00,1,Collision with vehicle,3,Tuesday,130,REAR END(VEHICLES IN SAME LANE),2,-10,2,0,1,0,2,3,1,5,Not at intersection,2,999,
T20130006809,2013-01-01,22:00:00,5,collision with some other object,3,Tuesday,166,STRUCK OBJECT ON CARRIAGEWAY,6,268560,1,0,0,1,0,1,2,5,Not at intersection,3,999,Arterial Other
T20130003522,2013-01-01,12:00:00,8,No collision and no object struck,3,Tuesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,268197,1,0,0,1,0,1,2,5,Not at intersection,3,100,
T20130000013,2013-01-01,11:11:00,8,No collision and no object struck,3,Tuesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,257284,1,0,0,1,0,1,2,5,Not at intersection,3,999,Local Road
T20130000039,2013-01-01,16:40:00,1,Collision with vehicle,3,Tuesday,121,RIGHT THROUGH,1,608861,2,0,2,0,1,3,1,2,T intersection,2,080,Arterial Highway
T20130000021,2013-01-01,01:05:00,2,Struck Pedestrian,3,Tuesday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,3,257241,1,0,2,0,2,4,1,5,Not at intersection,2,060,Arterial Other
T20130000070,2013-01-01,18:10:00,8,No collision and no object struck,3,Tuesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,267804,1,0,1,1,0,2,1,5,Not at intersection,2,100,Arterial Other
T20130000069,2013-01-01,16:30:00,1,Collision with vehicle,3,Tuesday,130,REAR END(VEHICLES IN SAME LANE),1,248719,2,0,1,0,1,2,1,1,Cross intersection,2,999,Arterial Highway
T20130000068,2013-01-01,06:15:00,4,Collision with a fixed object,3,Tuesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,2,258487,1,0,1,0,0,1,1,5,Not at intersection,2,080,Arterial Highway
T20130000691,2013-01-01,14:55:00,1,Collision with vehicle,3,Tuesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,50322,2,0,0,5,0,5,1,1,Cross intersection,3,100,Arterial Other
T20130000032,2013-01-01,00:02:00,4,Collision with a fixed object,3,Tuesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,3,259207,1,0,1,0,0,1,1,3,Y intersection,2,060,
T20130000050,2013-01-01,19:05:00,1,Collision with vehicle,3,Tuesday,130,REAR END(VEHICLES IN SAME LANE),1,257238,2,0,1,2,1,4,1,5,Not at intersection,2,060,Arterial Other
T20130000044,2013-01-01,16:15:00,4,Collision with a fixed object,3,Tuesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,608180,1,0,1,0,0,1,1,5,Not at intersection,2,110,
T20130000043,2013-01-01,15:00:00,1,Collision with vehicle,3,Tuesday,149,OTHER MANOEUVRING NOT INCLUDED IN DCAs 140-148,1,257613,2,0,0,1,4,5,1,5,Not at intersection,3,060,Local Road
T20130000042,2013-01-01,15:51:00,1,Collision with vehicle,3,Tuesday,113,RIGHT NEAR (INTERSECTIONS ONLY),1,41008,3,0,1,1,0,2,1,2,T intersection,2,060,Arterial Other
T20130000874,2013-01-01,15:00:00,4,Collision with a fixed object,3,Tuesday,189,OTHER ACCIDENTS ON CURVE NOT INCLUDED IN DCAs 180-184,1,267904,1,0,0,1,0,1,2,5,Not at intersection,3,999,Local Road
T20130000559,2013-01-02,09:05:00,1,Collision with vehicle,4,Wednesday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,1,230454,2,0,0,1,1,2,2,2,T intersection,3,060,Arterial Other
