ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,LIGHT_CONDITION,NODE_ID,NO_OF_VEHICLES,NO_PERSONS_KILLED,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_NOT_INJ,NO_PERSONS,POLICE_ATTEND,ROAD_GEOMETRY,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,RMA
T20120000012,2012-01-01,02:00:00,1,Collision with vehicle,1,Sunday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),3,41780,2,0,1,0,2,3,1,1,Cross intersection,2,080,
T20120000013,2012-01-01,03:35:00,1,Collision with vehicle,1,Sunday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,3,69811,2,0,1,0,0,1,1,2,T intersection,2,060,Arterial Other
T20120000018,2012-01-01,05:15:00,4,Collision with a fixed object,1,Sunday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,5,22636,1,0,0,1,0,1,1,1,Cross intersection,3,100,Arterial Highway
T20120000021,2012-01-01,07:30:00,4,Collision with a fixed object,1,Sunday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,248597,1,0,0,2,1,3,1,5,Not at intersection,3,050,Local Road
T20120000028,2012-01-01,04:00:00,4,Collision with a fixed object,1,Sunday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,5,248598,1,0,1,0,0,1,1,2,T intersection,2,100,
T20120000032,2012-01-01,00:55:00,2,Struck Pedestrian,1,Sunday,108,PED STRUCK WALKING TO/FROM OR BOARDING/ALIGHTING VEHICLE.,3,53249,1,0,0,1,1,2,2,2,T intersection,3,050,Local Road
T20120000043,2012-01-01,00:45:00,1,Collision with vehicle,1,Sunday,116,LEFT NEAR (INTERSECTIONS ONLY),5,43910,2,0,2,0,1,3,1,2,T intersection,2,080,Arterial Highway
T20120000044,2012-01-01,16:25:00,1,Collision with vehicle,1,Sunday,120,HEAD ON (NOT OVERTAKING),1,42677,2,0,1,0,1,2,1,2,T intersection,2,060,Arterial Other
T20120005091,2012-01-01,15:30:00,4,Collision with a fixed object,1,Sunday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,250198,1,0,0,1,1,2,2,5,Not at intersection,3,100,Local Road
T20120000046,2012-01-01,16:25:00,2,Struck Pedestrian,1,Sunday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,1,47545,1,0,0,1,1,2,1,2,T intersection,3,060,Arterial Other
