ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,LIGHT_CONDITION,NODE_ID,NO_OF_VEHICLES,NO_PERSONS_KILLED,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_NOT_INJ,NO_PERSONS,POLICE_ATTEND,ROAD_GEOMETRY,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,RMA
T20180000021,2018-01-01,01:30:00,1,Collision with vehicle,2,Monday,130,REAR END(VEHICLES IN SAME LANE),3,38572,3,0,0,2,2,4,1,1,Cross intersection,3,060,Arterial Highway
T20180000095,2018-01-01,03:45:00,1,Collision with vehicle,2,Monday,113,RIGHT NEAR (INTERSECTIONS ONLY),3,62478,2,0,1,0,5,6,1,2,T intersection,2,050,Local Road
T20180000051,2018-01-01,18:14:00,1,Collision with vehicle,2,Monday,135,LANE CHANGE LEFT (NOT OVERTAKING),1,193984,2,0,0,2,1,3,1,5,Not at intersection,3,070,Arterial Highway
T20180000013,2018-01-01,01:41:00,4,Collision with a fixed object,2,Monday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,5,325492,1,1,1,0,0,2,1,5,Not at intersection,1,110,Freeway
T20180000016,2018-01-01,03:50:00,1,Collision with vehicle,1,Monday,130,REAR END(VEHICLES IN SAME LANE),3,169,2,0,1,0,1,2,1,1,Cross intersection,2,060,Arterial Highway
T20180000019,2018-01-01,03:40:00,4,Collision with a fixed object,2,Monday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,3,327310,1,0,1,0,0,1,1,5,Not at intersection,2,060,Arterial Highway
T20180000039,2018-01-01,12:21:00,4,Collision with a fixed object,2,Monday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,1,326509,1,0,0,1,0,1,1,5,Not at intersection,3,060,Arterial Other
T20180000034,2018-01-01,12:38:00,2,Struck Pedestrian,2,Monday,107,PED ON FOOTHPATH STRUCK BY VEHENTERING/LEAVING DRIVEWAY.,1,359851,1,0,0,1,1,2,1,5,Not at intersection,3,999,Local Road
T20180000473,2018-01-01,04:59:00,1,Collision with vehicle,2,Monday,198,OTHER ACCIDENTS NOT CLASSIFIABLE ELSEWHERE,3,44469,4,0,0,1,6,7,1,1,Cross intersection,3,060,Arterial Other
T20180000006,2018-01-01,00:02:00,2,Struck Pedestrian,2,Monday,103,PED PLAYING/LYING/WORKING/STANDING ON CARRIAGEWAY.,3,328027,1,0,1,0,0,1,1,2,T intersection,2,050,Local Road
T20180000053,2018-01-01,18:50:00,1,Collision with vehicle,1,Monday,121,RIGHT THROUGH,1,299540,3,0,1,2,1,4,1,2,T intersection,2,080,Arterial Highway
T20180000010,2018-01-01,02:30:00,1,Collision with vehicle,2,Monday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,3,359849,2,0,1,0,0,1,1,5,Not at intersection,2,050,Local Road
T20180000048,2018-01-01,16:09:00,1,Collision with vehicle,2,Monday,120,HEAD ON (NOT OVERTAKING),1,325856,2,0,1,0,1,2,1,5,Not at intersection,2,070,Arterial Other
T20180000040,2018-01-01,13:05:00,4,Collision with a fixed object,2,Monday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,325635,1,0,0,1,0,1,1,5,Not at intersection,3,100,Local Road
T20180008879,2018-01-01,10:00:00,8,No collision and no object struck,2,Monday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,330691,1,0,0,1,0,1,2,5,Not at intersection,3,888,
T20180000042,2018-01-01,14:30:00,4,Collision with a fixed object,2,Monday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,1,325499,1,0,1,0,2,3,1,5,Not at intersection,2,070,Arterial Other
T20180000024,2018-01-01,05:50:00,6,Vehicle overturned (no collision),2,Monday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),2,325432,1,1,1,2,0,4,1,5,Not at intersection,1,100,Arterial Other
T20180000062,2018-01-02,01:00:00,8,No collision and no object struck,3,Tuesday,172,OFF CARRIAGEWAY TO RIGHT,3,325509,2,0,0,1,2,3,1,5,Not at intersection,3,050,
T20180000097,2018-01-02,15:23:00,2,Struck Pedestrian,3,Tuesday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,1,36872,1,0,1,0,1,2,1,1,Cross intersection,2,060,Arterial Other
T20180000098,2018-01-02,13:30:00,1,Collision with vehicle,3,Tuesday,121,RIGHT THROUGH,1,57304,2,0,0,1,4,5,1,1,Cross intersection,3,060,Arterial Other
T20180000067,2018-01-02,06:55:00,1,Collision with vehicle,3,Tuesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,51869,2,0,0,2,0,2,1,1,Cross intersection,3,060,Local Road
T20180000070,2018-01-02,07:40:00,1,Collision with vehicle,3,Tuesday,147,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,1,325626,2,0,0,2,1,3,1,5,Not at intersection,3,060,Arterial Other
T20180000071,2018-01-02,10:00:00,1,Collision with vehicle,3,Tuesday,121,RIGHT THROUGH,1,44414,3,0,1,0,3,4,1,2,T intersection,2,060,Local Road
T20180000074,2018-01-02,09:00:00,4,Collision with a fixed object,3,Tuesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,325638,1,0,1,0,0,1,1,5,Not at intersection,2,050,Local Road
T20180000101,2018-01-02,18:33:00,6,Vehicle overturned (no collision),3,Tuesday,180,OFF CARRIAGEWAY ON RIGHT BEND,1,326427,1,0,1,1,0,2,1,5,Not at intersection,2,100,
