ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,LIGHT_CONDITION,NODE_ID,NO_OF_VEHICLES,NO_PERSONS_KILLED,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_NOT_INJ,NO_PERSONS,POLICE_ATTEND,ROAD_GEOMETRY,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,RMA
T20170000278,2017-01-01,11:30:00,8,No collision and no object struck,1,Sunday,184,OUT OF CONTROL ON CARRIAGEWAY (ON BEND),1,312649,1,0,0,1,0,1,2,5,Not at intersection,3,050,Local Road
T20170000120,2017-01-01,08:30:00,8,No collision and no object struck,1,Sunday,170,OFF CARRIAGEWAY TO LEFT,1,315951,1,0,0,1,0,1,2,5,Not at intersection,3,888,Local Road
T20170000011,2017-01-01,04:50:00,4,Collision with a fixed object,1,Sunday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,2,312474,1,0,0,1,0,1,1,5,Not at intersection,3,080,Arterial Other
T20170000009,2017-01-01,02:40:00,1,Collision with vehicle,1,Sunday,130,REAR END(VEHICLES IN SAME LANE),3,313217,3,0,0,1,1,2,1,5,Not at intersection,3,080,Freeway
T20170000008,2017-01-01,01:30:00,8,No collision and no object struck,1,Sunday,170,OFF CARRIAGEWAY TO LEFT,3,312416,1,0,1,0,0,1,1,5,Not at intersection,2,050,Local Road
T20170000036,2017-01-01,00:15:00,1,Collision with vehicle,0,Sunday,130,REAR END(VEHICLES IN SAME LANE),3,312798,3,0,0,2,6,8,1,5,Not at intersection,3,060,Arterial Other
T20170000049,2017-01-01,11:53:00,4,Collision with a fixed object,1,Sunday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,40734,1,0,2,0,0,2,1,2,T intersection,2,060,Arterial Other
T20170001240,2017-01-01,22:30:00,4,Collision with a fixed object,1,Sunday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,5,314554,1,0,1,0,0,1,2,5,Not at intersection,2,100,
T20170000033,2017-01-01,19:39:00,1,Collision with vehicle,0,Sunday,131,LEFT REAR,1,38653,2,0,0,1,2,3,1,1,Cross intersection,3,060,Arterial Other
T20170000055,2017-01-01,19:00:00,1,Collision with vehicle,0,Sunday,130,REAR END(VEHICLES IN SAME LANE),1,317887,2,0,0,1,0,1,2,5,Not at intersection,3,060,Local Road
