ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,LIGHT_CONDITION,NODE_ID,NO_OF_VEHICLES,NO_PERSONS_KILLED,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_NOT_INJ,NO_PERSONS,POLICE_ATTEND,ROAD_GEOMETRY,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,RMA
T20160000094,2016-01-01,02:30:00,2,Struck Pedestrian,6,Friday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,3,298083,1,0,0,1,0,1,2,5,Not at intersection,3,050,Local Road
T20160001987,2016-01-01,01:39:00,1,Collision with vehicle,6,Friday,120,HEAD ON (NOT OVERTAKING),6,307918,2,0,1,0,0,1,1,5,Not at intersection,2,060,Arterial Other
T20160000034,2016-01-01,11:00:00,1,Collision with vehicle,6,Friday,120,HEAD ON (NOT OVERTAKING),1,298660,4,0,1,0,5,6,1,5,Not at intersection,2,080,
T20160000217,2016-01-01,14:00:00,6,Vehicle overturned (no collision),6,Friday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,298056,1,0,1,0,0,1,1,5,Not at intersection,2,050,Local Road
T20160001892,2016-01-01,17:00:00,7,Fall from or in moving vehicle,6,Friday,190,FELL IN/FROM VEHICLE,1,299007,1,0,1,0,4,5,1,5,Not at intersection,2,060,Local Road
T20160000441,2016-01-01,10:15:00,1,Collision with vehicle,6,Friday,130,REAR END(VEHICLES IN SAME LANE),1,298261,2,0,0,1,1,2,2,2,T intersection,3,070,Arterial Other
T20160000033,2016-01-01,12:30:00,1,Collision with vehicle,6,Friday,134,LANE CHANGE RIGHT (NOT OVERTAKING),1,298043,2,0,1,0,1,2,1,5,Not at intersection,2,080,Arterial Other
T20160000610,2016-01-01,15:38:00,1,Collision with vehicle,6,Friday,137,LEFT TURN SIDESWIPE,1,298376,2,0,1,0,1,2,1,5,Not at intersection,2,050,Local Road
T20160000031,2016-01-01,13:30:00,8,No collision and no object struck,6,Friday,170,OFF CARRIAGEWAY TO LEFT,1,297967,1,0,0,2,0,2,1,5,Not at intersection,3,050,Local Road
T20160000028,2016-01-01,11:35:00,1,Collision with vehicle,6,Friday,113,RIGHT NEAR (INTERSECTIONS ONLY),1,41461,2,0,0,1,1,2,1,2,T intersection,3,060,
T20160000019,2016-01-01,06:30:00,4,Collision with a fixed object,6,Friday,179,OTHER ACCIDENTS-OFF STRAIGHT NOT INCLUDED IN DCAs 170-175,1,297929,4,0,1,0,0,1,1,5,Not at intersection,2,050,Local Road
T20160000015,2016-01-01,02:35:00,4,Collision with a fixed object,6,Friday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,3,298006,1,0,1,0,0,1,1,5,Not at intersection,2,080,Arterial Other
